file_name,number,title,date,author,publisher
bd6t541992801	114	Isabelle, ou Deux jours d'expérience, comédie en 3 actes et en prose, par Mme Ancelot. (Paris, Théâtre-Français, 14 mars 1838.)	1838	Ancelot, Virginie (1792-1875). Auteur du texte	Marchant ((Paris)
bd6t53703231	115	Isabelle, ou Deux jours d'expérience : comédie en trois actes et en prose / par madame Ancelot	1838	Ancelot, Virginie (1792-1875). Auteur du texte	Marchant (Paris)
bd6t5374789q	116	Juana, ou le Projet de vengeance, comédie en 2 actes, mêlée de chant, par Mme Ancelot. (Paris, Vaudeville, 4 juillet 1838.)	1838	Ancelot, Virginie (1792-1875). Auteur du texte	Marchant ((Paris)
bpt6k9614380v	117	Loïsa : comédie en deux actes, mêlée de chant / par Mme Ancelot	1843	Ancelot, Virginie (1792-1875). Auteur du texte	Beck (Paris)
bpt6k62008f	118	Madame Roland : drame historique en 3 actes, mêlé de chant / par Mme Ancelot	1843	Ancelot, Virginie (1792-1875). Auteur du texte	Beck (Paris)
bpt6k9601540t	119	Le Père Marcel : comédie mêlée de chant, en deux actes / par Mme Ancelot	1841	Ancelot, Virginie (1792-1875). Auteur du texte	Marchant (Paris)
bd6t5369126s	120	Pierre le millionnaire, comédie en 3 actes, mêlée de chant, par Mme Ancelot. (Paris, Vaudeville, 2 mars 1844.)	1844	Ancelot, Virginie (1792-1875). Auteur du texte	Beck (Paris)
bpt6k9614406n	121	Un jour de liberté : comédie en trois actes, mêlée de chant / par Mme Ancelot	1844	Ancelot, Virginie (1792-1875). Auteur du texte	Beck (Paris)
bpt6k96044924	122	Une année à Paris : comédie en trois actes, en prose / par Mme Ancelot	1847	Ancelot, Virginie (1792-1875). Auteur du texte	Beck (Paris) ¤ Tresse (Paris)
bpt6k9614704v	123	Une femme à la mode : comédie en un acte / par Mme Ancelot	1843	Ancelot, Virginie (1792-1875). Auteur du texte	Beck (Paris)
bd6t5374795j	124	Philippe III, tragédie en 5 actes, par M. Andraud... (Théâtre-Français, 13 juillet 1838.)	1838	Andraud, Antoine (1795-1859). Auteur du texte	Marchant (Paris)
bd6t5751145g	125	Lanval et Viviane, ou les Fées et les chevaliers, comédie héroï-féerie, en 5 actes et en vers... mêlée de chant et de danses, par M. de Murville. Représentée pour la 1re fois par les Comédiens ordinaires du Roi, le... 13 septembre 1788	1788	André-Murville, Pierre-Nicolas (1754-1815). Auteur du texte	Prault (Paris)
bpt6k9808831j	126	Le Rendez-vous du mari, ou Le mari à la mode , comédie en un acte et en vers, par M. de Murville. Représentée, pour la première fois sur le théâtre des Thuilleries, par les Comediens français ordinaires du roi, le 1er décembre 1781	1782	André-Murville, Pierre-Nicolas (1754-1815). Auteur du texte	Vve Duchesne (Paris)
bpt6k6112910t	127	Anaximandre, ou le Sacrifice aux Grâces, comédie en un acte en vers de dix syllabes. (Paris, Théâtre Italien, 20 décembre 1782.)... Nouvelle édition... corrigée par l'auteur (Andrieux). On y a joint :°1 des changements adoptés au Théâtre Français pour la tragédie de "Nicomède", de P. Corneille ,°2 un changement proposé pour la tragédie de "Polveucte", du même auteur	1805	Andrieux, François (1759-1833). Auteur du texte ¤ Corneille, Pierre (1606-1684). Auteur du texte	L. Collin (Paris)
bpt6k97930710	128	La Comédienne , comédie en trois actes, en vers, représentée par les comédiens français ordinaires du Roi, pour la première fois le 6 mars 1816	1816	Andrieux, François (1759-1833). Auteur du texte	A. Nepveu (Paris)
bpt6k62489c	129	L'enfance de Jean-Jacques Rousseau : comédie en un acte, mêlée de musique / Les paroles sont d'Andrieux , la musique est de d'Alayrac	1794	Andrieux, François (1759-1833). Auteur du texte	Maradan (Paris)
bpt6k9693748x	130	Les Étourdis, ou Le mort supposé , comédie en trois actes, en vers	1788	Andrieux, François (1759-1833). Auteur du texte	Bailly (Paris)
